Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
64,15,6,153,5,Some Random Commen with Id 64
65,15,6,191,8,Some Random Commen with Id 65
66,15,6,119,5,Some Random Commen with Id 66
67,16,1,148,1,Some Random Commen with Id 67
68,16,1,157,0,Some Random Commen with Id 68
69,16,1,5,0,Some Random Commen with Id 69
70,16,1,179,8,Some Random Commen with Id 70
71,17,7,148,4,Some Random Commen with Id 71
72,17,7,154,4,Some Random Commen with Id 72
73,17,7,26,3,Some Random Commen with Id 73
74,17,7,189,5,Some Random Commen with Id 74
75,17,7,141,9,Some Random Commen with Id 75
76,17,7,45,0,Some Random Commen with Id 76
77,17,7,46,4,Some Random Commen with Id 77
78,17,7,96,6,Some Random Commen with Id 78
79,17,7,177,6,Some Random Commen with Id 79
80,18,0,177,6,Some Random Commen with Id 80
81,18,0,15,1,Some Random Commen with Id 81
82,19,1,73,7,Some Random Commen with Id 82
83,19,1,120,2,Some Random Commen with Id 83
84,20,9,55,2,Some Random Commen with Id 84
85,20,9,120,4,Some Random Commen with Id 85
86,20,9,27,9,Some Random Commen with Id 86
87,20,9,72,0,Some Random Commen with Id 87
88,20,9,150,1,Some Random Commen with Id 88
89,21,6,18,8,Some Random Commen with Id 89
90,21,6,86,2,Some Random Commen with Id 90
91,21,6,85,5,Some Random Commen with Id 91
92,21,6,181,7,Some Random Commen with Id 92
93,21,6,177,8,Some Random Commen with Id 93
94,21,6,114,6,Some Random Commen with Id 94
95,21,6,120,8,Some Random Commen with Id 95
96,22,8,188,6,Some Random Commen with Id 96
97,22,8,7,8,Some Random Commen with Id 97
98,22,8,116,7,Some Random Commen with Id 98
99,22,8,79,9,Some Random Commen with Id 99
100,22,8,107,7,Some Random Commen with Id 100
101,23,7,83,7,Some Random Commen with Id 101
102,23,7,197,9,Some Random Commen with Id 102
103,24,3,174,6,Some Random Commen with Id 103
104,24,3,45,7,Some Random Commen with Id 104
105,24,3,125,6,Some Random Commen with Id 105
106,24,3,90,4,Some Random Commen with Id 106
107,24,3,144,1,Some Random Commen with Id 107
108,24,3,48,8,Some Random Commen with Id 108
109,25,1,27,5,Some Random Commen with Id 109
110,25,1,149,7,Some Random Commen with Id 110
111,25,1,25,3,Some Random Commen with Id 111
112,25,1,59,1,Some Random Commen with Id 112
113,25,1,79,0,Some Random Commen with Id 113
114,25,1,100,5,Some Random Commen with Id 114
115,25,1,72,8,Some Random Commen with Id 115
116,25,1,83,9,Some Random Commen with Id 116
117,25,1,8,4,Some Random Commen with Id 117
118,26,1,135,0,Some Random Commen with Id 118
119,26,1,5,4,Some Random Commen with Id 119
120,26,1,130,2,Some Random Commen with Id 120
121,26,1,164,0,Some Random Commen with Id 121
122,26,1,43,2,Some Random Commen with Id 122
123,26,1,106,7,Some Random Commen with Id 123
124,26,1,80,2,Some Random Commen with Id 124
125,26,1,67,3,Some Random Commen with Id 125
126,27,9,63,5,Some Random Commen with Id 126
127,27,9,51,3,Some Random Commen with Id 127
128,29,6,27,7,Some Random Commen with Id 128
129,29,6,99,5,Some Random Commen with Id 129
130,29,6,75,2,Some Random Commen with Id 130
131,29,6,55,8,Some Random Commen with Id 131
132,29,6,183,1,Some Random Commen with Id 132
133,29,6,43,6,Some Random Commen with Id 133
134,30,0,196,0,Some Random Commen with Id 134
135,30,0,68,8,Some Random Commen with Id 135
136,31,1,166,1,Some Random Commen with Id 136
137,31,1,193,4,Some Random Commen with Id 137
138,31,1,64,9,Some Random Commen with Id 138
139,31,1,162,7,Some Random Commen with Id 139
140,31,1,188,0,Some Random Commen with Id 140
141,31,1,19,3,Some Random Commen with Id 141
142,31,1,121,8,Some Random Commen with Id 142
143,32,6,24,5,Some Random Commen with Id 143
144,33,1,167,5,Some Random Commen with Id 144
145,33,1,42,3,Some Random Commen with Id 145
146,33,1,131,9,Some Random Commen with Id 146
147,34,6,70,3,Some Random Commen with Id 147
148,34,6,184,1,Some Random Commen with Id 148
149,34,6,128,8,Some Random Commen with Id 149
150,34,6,171,9,Some Random Commen with Id 150
151,35,7,18,4,Some Random Commen with Id 151
152,35,7,188,1,Some Random Commen with Id 152
153,35,7,58,8,Some Random Commen with Id 153
154,35,7,64,9,Some Random Commen with Id 154
155,35,7,42,6,Some Random Commen with Id 155
156,35,7,56,9,Some Random Commen with Id 156
157,35,7,53,3,Some Random Commen with Id 157
158,35,7,178,6,Some Random Commen with Id 158
159,35,7,43,9,Some Random Commen with Id 159
160,36,5,122,8,Some Random Commen with Id 160
161,36,5,99,6,Some Random Commen with Id 161
162,36,5,73,3,Some Random Commen with Id 162
163,36,5,38,0,Some Random Commen with Id 163
164,36,5,141,1,Some Random Commen with Id 164
165,37,1,93,2,Some Random Commen with Id 165
166,37,1,97,7,Some Random Commen with Id 166
167,37,1,88,6,Some Random Commen with Id 167
168,38,8,191,8,Some Random Commen with Id 168
169,38,8,46,1,Some Random Commen with Id 169
170,39,4,100,8,Some Random Commen with Id 170
171,39,4,113,0,Some Random Commen with Id 171
